id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,detection_method
0,Super Earth,2024,3.41 Earths,1.664 x Earth,0.1054 AU,14.4 days,Transit
1,Gas Giant,2024,1.08 Jupiters,1.23 x Jupiter (estimate),1.41 AU,4.1 years,Microlensing
2,Gas Giant,2024,0.63 Jupiters,1.26 x Jupiter (estimate),1.18 AU,3.1 years,Microlensing
3,Neptune-like,2024,13.03096 Earths,0.327 x Jupiter (estimate),2.96 AU,6.4 years,Microlensing
4,Gas Giant,2024,23.6 Jupiters,1.07 x Jupiter (estimate),22.1 AU,84.9 years,Imaging
5,Super Earth,2024,4.02 Earths,1.833 x Earth,0.051 AU,6 days,Transit
6,Super Earth,2024,2.61 Earths,1.422 x Earth,0.0207 AU,2.3 days,Transit
7,Gas Giant,2024,0.96 Jupiters,0.928 x Jupiter,0.408 AU,98.3 days,Transit
8,Gas Giant,2023,23 Jupiters,0.25 x Jupiter,0.5 AU,19 days,Transit
9,Super Earth,2024,3.97 Earths,1.821 x Earth,0.0632 AU,7.8 days,Transit
10,Super Earth,2024,3.27 Earths,1.625 x Earth,0.0352 AU,4.2 days,Transit
11,Gas Giant,2023,Unknown,1.24 x Jupiter (estimate),4.5 AU,11.2 years,Microlensing
12,Gas Giant,2024,1.62 Jupiters,1.21 x Jupiter (estimate),1.14 AU,2.2 years,Microlensing
13,Gas Giant,2024,5.9 Jupiters,1.14 x Jupiter (estimate),2.09 AU,3.8 years,Microlensing
14,Gas Giant,2024,3.8 Jupiters,1.16 x Jupiter (estimate),2.53 AU,5.9 years,Microlensing
15,Super Earth,2024,3.41 Earths,1.664 x Earth,0.1054 AU,14.4 days,Transit
16,Gas Giant,2024,1.08 Jupiters,1.23 x Jupiter (estimate),1.41 AU,4.1 years,Microlensing
17,Gas Giant,2024,0.63 Jupiters,1.26 x Jupiter (estimate),1.18 AU,3.1 years,Microlensing
18,Neptune-like,2024,13.03096 Earths,0.327 x Jupiter (estimate),2.96 AU,6.4 years,Microlensing
